"Series number,""Start time"",""End time"",""Answer duration"",""User ID"",""WeChat ID"",""User-defined field"",""1.Age"",""2.Gender"",""3.Education"",""3.Education (Other)"",""4.Country"",""4.Country (Other)"",""5.Work"",""5.Work (Other)"",""6.FR concept"",""7.sources: prinnt media "",""7.sources: Internet"",""7.sources: scientific paper"",""7.sources: conversations"",""7.sources: class"",""7.sources: (Other)"",""7.sources: (Other)"",""8.unlock: Swipe"",""8.unlock: Passwords"",""8.unlock: Pattern"",""8.unlock: Finger prints"",""8.unlock: FaceID"",""8.unlock: Nothing"",""8.unlock: (Other)"",""8.unlock: (Other)"",""9.Use FaceID"",""9.Use FaceID (Other)"",""10.Not use FaceID (Other)"",""11.FR using status"",""12.Opinions of statement"",""13.Attitudes of statement"",""14.(1)Policing investigation"",""14.(2) Daily policing"",""14.(3) Smartphone"",""14.(4) Airport"",""14.(5) Supermarket: buy alcohol"",""14.(6) Supermarket: track shopper "",""14.(7) School: student attendance"",""14.(8) School: student behaviour"",""14.(10) Public transport: ticket barriers"",""14.(11) Public transport: indentify people for police"",""14.(12) At work: high risk area"",""14.(13) At work: monitor people"",""14.(14) Massive events"",""14.(15) Apartment building"",""15.Attitudes for police using FRT"",""16.Opinions for police using FR"",""17.Agree: society"",""17.Agree: personal security"",""17.Agree: security system"",""17.Agree: opt out or consent"",""17.Agree: ethical"",""17.Agree: not misused or hacked"",""17.Agree: indiscriminate"",""17.Agree: accurate"",""17.Agree: reliable"",""17.Agree: no effect"",""17.Agree: I do not know"",""17.Agree: none"",""17.Agree: (Other)"",""17.Agree: (Other)"",""18.Disagree: privacy"",""18.Disagree: normalization"",""18.Disagree: no opt out or consent"",""18.Disagree: not ethical"",""18.Disagree: personal privacy"",""18.Disagree: misused or hacked"",""18.Disagree: discriminate"",""18.Disagree: not accurate"",""18.Disagree: not reliable"",""18.Disagree: personal effect"",""18.Disagree: I do not know"",""18.Disagree: none"",""18.Disagree: (Other)"",""18.Disagree: (Other)"",""19.Feel safer"",""20.Identify criminals"",""21.Prevent crimes"",""22.Deter terrorists"",""23.Crime evidence"",""24.No notifying"",""25.Attitudes now"",""26.Future"",""27.Comments"","
"104,""25-Oct-2019 22:12:40"",""25-Oct-2019 22:20:57"",""497"","""",""o86_0jmf_vyR7cFWtTdQBqWAF1W0___DON"","""",""1"",""1"",""3"","""",""3"","""",""8"","""",""2"","""",""1"",""1"","""","""","""","""","""","""","""","""",""1"","""","""","""",""2"","""",""4"","""",""3"",""3"",""3"",""1"",""1"",""1"",""1"",""5"",""5"",""5"",""5"",""1"",""1"",""3"",""5"",""1"",""3"",""3"",""2"",""1"",""1"","""","""","""","""","""","""","""","""","""","""","""","""",""1"",""1"","""","""","""",""1"","""","""","""","""","""","""","""","""",""1"",""1"",""3"",""2"",""1"",""1"",""3"",""1"",""无感"","
"105,""25-Oct-2019 22:43:04"",""25-Oct-2019 22:47:16"",""252"","""",""o86_0jo4ZuuyxkjtfLIS2I1uczjs___Trancy Wang"","""",""1"",""2"",""4"","""",""3"","""",""3"","""",""2"",""1"",""1"","""","""","""","""","""","""",""1"","""",""1"","""","""","""","""",""1"","""",""4"","""",""2"",""4"",""4"",""1"",""2"",""2"",""2"",""4"",""4"",""2"",""2"",""5"",""2"",""2"",""4"",""2"",""3"",""1"",""1"",""1"",""1"",""1"","""","""","""",""1"","""","""","""","""","""","""","""","""","""",""1"",""1"","""",""1"","""","""","""","""","""","""","""","""",""1"",""1"",""2"",""2"",""1"",""3"",""2"",""1"",""无"","
"106,""26-Oct-2019 00:15:26"",""26-Oct-2019 00:20:21"",""295"","""",""o86_0jjTP5nOkUEGCl4N05aHLJxI___98年生的猫"","""",""1"",""1"",""3"","""",""3"","""",""1"","""",""2"","""",""1"","""","""","""","""","""","""",""1"","""",""1"",""1"","""","""","""",""4"","""",""1"","""",""4"",""3"",""4"",""1"",""2"",""2"",""2"",""2"",""4"",""3"",""4"",""2"",""2"",""2"",""4"",""2"",""2"",""2"",""2"",""1"","""",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""",""1"","""","""","""","""","""","""","""","""",""1"",""2"",""2"",""2"",""1"",""3"",""3"",""2"",""。"","
"107,""26-Oct-2019 07:52:00"",""26-Oct-2019 07:58:06"",""366"","""",""o86_0jkVo_39NxggrLlJlu2qKccM___静海玥中医养生推广1503297312"","""",""3"",""2"",""1"","""",""3"","""",""10"","""",""2"","""",""1"","""","""","""","""","""","""",""1"","""","""","""","""","""","""",""5"","""",""5"","""",""4"",""2"",""2"",""2"",""3"",""3"",""2"",""4"",""4"",""2"",""2"",""4"",""2"",""2"",""2"",""2"",""2"",""2"",""2"","""",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""","""","""","""","""","""","""",""1"","""","""","""",""1"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""人脸识别挺好的"","
"108,""26-Oct-2019 08:23:28"",""26-Oct-2019 08:27:49"",""261"","""",""o86_0jlJZEbpzXigtwGw8ilkiAQM___王琦 Karen"","""",""2"",""2"",""4"","""",""3"","""",""3"","""",""4"","""",""1"","""",""1"","""","""","""","""",""1"","""",""1"","""","""","""","""",""4"","""",""3"","""",""4"",""1"",""4"",""1"",""2"",""2"",""1"",""2"",""5"",""2"",""5"",""2"",""1"",""1"",""4"",""1"",""1"",""1"",""1"",""1"","""","""","""",""1"",""1"","""","""",""1"","""","""","""","""","""",""1"",""1"",""1"","""",""1"",""1"","""","""","""","""","""","""","""","""",""1"",""1"",""3"",""2"",""1"",""2"",""2"",""3"",""无"","
"109,""26-Oct-2019 09:46:20"",""26-Oct-2019 09:53:55"",""455"","""",""o86_0juRlc8dTMD5-OckX-Ngt3JY___应物无方"","""",""2"",""1"",""3"","""",""3"","""",""1"","""",""2"","""",""1"","""","""","""","""","""","""","""",""1"",""1"",""1"","""","""","""",""5"","""",""4"","""",""2"",""1"",""1"",""2"",""4"",""4"",""2"",""4"",""4"",""4"",""4"",""2"",""2"",""2"",""4"",""4"",""4"",""3"",""3"","""","""","""","""","""","""",""1"","""","""","""","""","""","""","""",""1"","""","""",""1"",""1"",""1"","""","""","""","""","""","""","""","""",""1"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""科技要公正利用"","
"110,""28-Oct-2019 18:32:40"",""28-Oct-2019 18:36:59"",""259"","""",""o86_0jsf9pYZ7pAWZLSDgBuQkVw8___夜风"","""",""1"",""1"",""3"","""",""3"","""",""5"","""",""1"","""",""1"","""",""1"",""1"","""","""","""",""1"","""",""1"",""1"","""","""","""",""5"","""",""6"","""",""1"",""2"",""2"",""1"",""1"",""2"",""1"",""2"",""4"",""3"",""3"",""2"",""2"",""3"",""4"",""3"",""3"",""2"",""1"",""1"",""1"",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""",""1"","""","""","""","""","""","""",""1"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""无"","
"111,""28-Oct-2019 18:33:07"",""28-Oct-2019 18:39:22"",""375"","""",""o86_0ji50numgz0eFQVLlgv60SzA___木木夕"","""",""1"",""2"",""3"","""",""3"","""",""5"","""",""2"","""",""1"",""1"","""","""",""1"","""","""","""","""",""1"","""","""","""","""",""4"","""",""1"","""",""2"",""2"",""3"",""2"",""3"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""4"",""2"",""2"",""2"",""2"",""1"","""",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""","""",""1"",""1"",""1"",""1"",""2"",""2"",""2"",""2"",""人脸识别技术还是很好的"","
"112,""29-Oct-2019 17:05:35"",""29-Oct-2019 17:23:23"",""1068"","""",""o86_0juB6xUFwFxnkl_-8tqVN9uY___雪姐คิดถึง"","""",""1"",""2"",""3"","""",""3"","""",""5"","""",""4"","""",""1"","""","""","""","""","""","""","""","""",""1"","""","""","""","""",""6"","""",""8"","""",""5"",""2"",""3"",""2"",""3"",""2"",""2"",""2"",""4"",""3"",""3"",""2"",""2"",""2"",""3"",""2"",""2"",""2"",""2"",""1"",""1"",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""","""","""",""1"",""2"",""4"",""4"",""2"",""3"",""2"",""2"",""人脸识别技术是一项科学发展技术，警察为了破案可以使用，为了我们的生活安全可以使用，但我认为不能依赖"","
"113,""29-Oct-2019 17:18:07"",""29-Oct-2019 17:26:04"",""477"","""",""o86_0jowjxndVnXfyzCbinGNZSfA___明月光"","""",""2"",""2"",""3"","""",""3"","""",""3"","""",""2"","""",""1"","""","""","""","""","""","""","""","""",""1"","""","""","""","""",""3"","""",""4"","""",""2"",""1"",""2"",""3"",""3"",""1"",""1"",""1"",""1"",""3"",""3"",""1"",""3"",""3"",""3"",""3"",""3"",""2"",""2"",""1"","""",""1"","""","""","""","""",""1"","""","""","""","""","""","""",""1"","""","""","""","""",""1"","""","""","""","""","""","""","""","""",""3"",""3"",""2"",""2"",""2"",""3"",""3"",""2"",""在技术很完善的基础上可以接受"","
"114,""29-Oct-2019 17:37:07"",""29-Oct-2019 17:43:48"",""401"","""",""o86_0jl5Z6X4jJ725Je4NqbPOTGc___筱腼腆ヾ°"","""",""1"",""2"",""3"","""",""3"","""",""13"","""",""3"",""1"",""1"",""1"",""1"","""","""","""","""",""1"","""",""1"","""","""","""","""",""4"","""",""3"","""",""2"",""3"",""3"",""3"",""3"",""3"",""3"",""3"",""3"",""3"",""3"",""3"",""3"",""3"",""3"",""3"",""3"",""3"",""3"",""1"","""",""1"","""","""","""","""","""","""","""","""","""","""","""",""1"","""",""1"","""","""",""1"","""","""","""","""","""","""","""","""",""2"",""3"",""3"",""3"",""3"",""3"",""2"",""3"",""个有利弊"","
"115,""29-Oct-2019 17:38:30"",""29-Oct-2019 17:46:41"",""491"","""",""o86_0jupdF3d_zCbtO4daLx7Do-4___张春明 LEO"","""",""1"",""1"",""3"","""",""3"","""",""2"","""",""2"","""",""1"","""","""","""",""1"",""手机硬件"","""",""1"","""","""",""1"","""","""","""",""1"","""",""4"","""",""2"",""2"",""3"",""1"",""2"",""1"",""1"",""2"",""3"",""3"",""3"",""1"",""1"",""1"",""3"",""1"",""2"",""2"",""2"",""1"","""",""1"","""",""1"",""1"",""1"",""1"",""1"",""1"","""","""","""","""","""",""1"",""1"","""","""",""1"",""1"",""1"",""1"",""1"","""","""","""","""",""3"",""2"",""3"",""4"",""1"",""3"",""2"",""2"",""人脸识别技术的广泛使用必须建立在成熟完整的技术基础之上。"","
"116,""29-Oct-2019 18:14:25"",""29-Oct-2019 18:19:41"",""316"","""",""o86_0jhW-OnWh4Y8khCQReAVFOBk___妍菌菌菌"","""",""1"",""2"",""4"","""",""3"","""",""1"","""",""2"",""1"",""1"","""",""1"","""","""","""","""",""1"","""",""1"","""","""","""","""",""4"","""",""3"","""",""4"",""1"",""3"",""1"",""2"",""3"",""1"",""3"",""4"",""4"",""4"",""1"",""1"",""2"",""5"",""2"",""3"",""2"",""2"",""1"",""1"",""1"",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""","""","""","""","""","""","""","""",""1"",""3"",""3"",""2"",""3"",""3"",""3"",""3"",""目前对人脸识别的应用不是特别的了解，接触到的场景大多是用于住户识别和支付等。比较关注人脸识别和隐私保护相关的内容。"","
"117,""29-Oct-2019 18:33:22"",""29-Oct-2019 18:39:52"",""390"","""",""o86_0juQo9-xD-bJaU7LTXc-t5ws___青色灬松林"","""",""1"",""1"",""3"","""",""3"","""",""9"","""",""4"","""",""1"","""","""","""","""","""","""","""","""",""1"",""1"","""","""","""",""4"","""",""7"","""",""2"",""1"",""1"",""1"",""5"",""2"",""2"",""1"",""5"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""5"",""1"",""1"",""1"",""1"","""",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""","""","""",""2"",""3"",""3"",""1"",""1"",""1"",""3"",""3"",""保持中立"","
"118,""29-Oct-2019 19:34:24"",""29-Oct-2019 19:36:28"",""124"","""",""o86_0jtAUmNggctyQ7XaxJls3llk___Desy"","""",""1"",""1"",""4"","""",""3"","""",""1"","""",""1"","""","""",""1"","""",""1"","""","""","""","""","""",""1"",""1"","""","""","""",""3"","""",""7"","""",""2"",""3"",""4"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""4"",""2"",""1"",""2"",""2"",""2"",""2"",""2"",""2"",""1"","""",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""","""","""",""1"",""1"",""2"",""2"",""2"",""2"",""2"",""2"",""无"","
"119,""29-Oct-2019 19:39:17"",""29-Oct-2019 19:45:29"",""372"","""",""o86_0joNHmk1xukykwSBaNcw7vu4___Contract Killers"","""",""1"",""1"",""3"","""",""3"","""",""2"","""",""1"","""",""1"","""",""1"","""","""","""","""","""","""",""1"",""1"","""","""","""",""3"","""",""7"","""",""1"",""2"",""5"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"","""","""","""","""",""1"",""1"",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""","""",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""非常同意人脸技术的使用。"","
"120,""29-Oct-2019 19:57:23"",""29-Oct-2019 20:06:05"",""522"","""",""o86_0jqubVvNboOCz_wDKcXJYhXE___赵凯"","""",""1"",""1"",""3"","""",""3"","""",""1"","""",""1"","""","""","""","""","""",""1"",""做人脸识别销售工作"","""","""","""",""1"",""1"","""","""","""",""4"","""",""7"","""",""2"",""3"",""3"",""2"",""2"",""2"",""2"",""2"",""4"",""2"",""2"",""2"",""1"",""2"",""2"",""2"",""2"",""1"",""1"",""1"",""1"",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""","""",""1"",""1"",""1"",""1"",""2"",""3"",""1"",""1"",""人脸识别在公共安全领域会有积极作用"","
"121,""29-Oct-2019 20:03:25"",""29-Oct-2019 20:07:44"",""259"","""",""o86_0jolGXBcB8b76DPEXzIASeRM___tian yf"","""",""1"",""2"",""3"","""",""3"","""",""4"","""",""4"","""",""1"","""","""","""","""","""","""","""","""",""1"","""","""","""","""",""3"","""",""1"","""",""2"",""2"",""5"",""1"",""2"",""2"",""1"",""1"",""4"",""4"",""5"",""1"",""1"",""1"",""5"",""1"",""2"",""1"",""1"",""1"",""1"",""1"",""1"","""","""",""1"","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""",""1"","""","""","""","""","""","""",""1"",""1"",""1"",""1"",""1"",""3"",""2"",""1"",""在保证隐私不被侵犯的情况下，我非常支持人脸识别技术，这更有利于社会安定和生活便捷"","
"122,""29-Oct-2019 20:06:30"",""29-Oct-2019 20:10:40"",""250"","""",""o86_0jkdmU85nTT3lb4dK_Xu54EY___笑笑"","""",""2"",""2"",""4"","""",""3"","""",""1"","""",""2"","""",""1"","""","""","""","""","""",""1"",""1"",""1"",""1"","""","""","""","""",""3"","""",""6"","""",""2"",""2"",""3"",""2"",""2"",""4"",""2"",""4"",""4"",""2"",""2"",""2"",""2"",""2"",""2"",""4"",""4"",""3"",""2"",""1"","""",""1"","""","""","""","""","""","""","""","""","""","""","""",""1"",""1"","""","""","""","""","""","""","""","""","""","""","""","""",""2"",""3"",""3"",""3"",""3"",""3"",""3"",""3"",""了解不多"","
"123,""29-Oct-2019 20:30:41"",""29-Oct-2019 20:33:38"",""177"","""",""o86_0jm3LyLukBwGIxJWNDFbNvqU___晏语"","""",""1"",""2"",""4"","""",""3"","""",""9"","""",""4"","""",""1"","""",""1"","""","""","""","""",""1"","""",""1"","""","""","""","""",""7"","""",""2"","""",""4"",""2"",""2"",""1"",""2"",""3"",""1"",""2"",""3"",""3"",""4"",""3"",""1"",""1"",""5"",""2"",""2"",""1"",""1"",""1"","""",""1"",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"",""1"","""","""","""","""","""","""","""","""",""3"",""1"",""3"",""1"",""1"",""3"",""2"",""3"",""无"","
"124,""29-Oct-2019 20:30:00"",""29-Oct-2019 20:34:37"",""277"","""",""o86_0jr2n6Ca5j9FImPEZXHEEQ0Y___zX"","""",""1"",""1"",""3"","""",""3"","""",""5"","""",""2"","""",""1"","""","""","""","""","""","""","""","""",""1"","""","""","""","""",""6"","""",""1"","""",""2"",""1"",""2"",""1"",""2"",""1"",""1"",""2"",""4"",""2"",""2"",""2"",""1"",""3"",""2"",""4"",""1"",""2"",""1"",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""","""","""","""","""","""","""","""","""","""","""","""",""1"",""2"",""1"",""2"",""1"",""1"",""1"",""2"",""赞同人脸识别用于打击犯罪，但不可侵犯隐私"","
"125,""29-Oct-2019 20:39:46"",""29-Oct-2019 20:44:35"",""289"","""",""o86_0jr2gRJNUXa8HiY3Dm8Uq_Mg___张张盛子"","""",""1"",""2"",""3"","""",""3"","""",""1"","""",""3"",""1"",""1"",""1"",""1"",""1"",""1"","""","""",""1"","""",""1"","""","""","""","""",""6"","""",""3"","""",""2"",""1"",""4"",""2"",""3"",""4"",""2"",""4"",""4"",""4"",""4"",""2"",""2"",""2"",""4"",""3"",""3"",""3"",""3"","""","""",""1"","""","""","""","""","""","""","""","""","""","""","""",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"",""3"",""2"",""2"",""3"",""2"",""3"",""2"",""如果一定普及人练技术，安全保护用户隐私是第一要素。"","
"126,""29-Oct-2019 20:46:46"",""29-Oct-2019 20:51:51"",""305"","""",""o86_0jjUSYJEYq_I07_3wV1EKwlw___周静"","""",""1"",""2"",""3"","""",""3"","""",""5"","""",""2"",""1"",""1"","""",""1"","""","""","""","""",""1"","""",""1"",""1"","""","""","""",""2"","""",""6"","""",""2"",""1"",""3"",""1"",""1"",""2"",""1"",""3"",""1"",""3"",""1"",""2"",""1"",""1"",""4"",""1"",""1"",""1"",""1"",""1"",""1"",""1"","""","""",""1"","""","""","""","""","""","""","""","""","""","""",""1"","""","""",""1"","""","""","""","""","""","""","""","""",""1"",""1"",""1"",""1"",""1"",""1"",""2"",""1"",""目前本人是支持人脸技术的识别"","
"127,""29-Oct-2019 20:55:09"",""29-Oct-2019 20:58:54"",""225"","""",""o86_0jhb4j54ECILv5gPeQkshpBE___Snow*"","""",""1"",""2"",""3"","""",""3"","""",""5"","""",""3"","""",""1"","""","""","""","""","""","""","""","""",""1"","""","""","""","""",""4"","""",""3"","""",""4"",""1"",""2"",""1"",""1"",""2"",""1"",""1"",""5"",""1"",""1"",""1"",""1"",""1"",""4"",""1"",""1"",""3"",""1"",""1"","""",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""",""1"","""","""","""","""","""","""","""","""",""3"",""2"",""2"",""2"",""2"",""3"",""2"",""2"",""无"","
"128,""29-Oct-2019 20:53:21"",""29-Oct-2019 20:59:46"",""385"","""",""o86_0jlz7XJrL_PaPkTZ250G0GYw___Sweet柠檬จุ๊บ"","""",""1"",""2"",""3"","""",""3"","""",""1"","""",""2"","""",""1"","""",""1"","""","""","""","""",""1"","""",""1"","""","""","""","""",""3"","""",""3"","""",""4"",""1"",""3"",""1"",""3"",""2"",""2"",""4"",""5"",""3"",""4"",""2"",""1"",""1"",""5"",""2"",""4"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"","""","""",""1"","""","""","""","""",""1"",""1"",""1"","""",""1"",""1"",""1"",""1"","""","""","""","""","""","""",""1"",""1"",""1"",""1"",""1"",""3"",""2"",""2"",""无"","
"129,""29-Oct-2019 20:58:09"",""29-Oct-2019 21:07:34"",""565"","""",""o86_0jtelo-HJrtp8aNyYLMN1B_8___上官雨馨"","""",""1"",""2"",""3"","""",""3"","""",""13"","""",""2"","""",""1"","""",""1"","""","""","""","""",""1"","""",""1"","""","""","""","""",""4"","""",""7"","""",""2"",""3"",""3"",""1"",""1"",""3"",""1"",""1"",""1"",""1"",""2"",""1"",""1"",""1"",""3"",""1"",""1"",""2"",""2"",""1"",""1"",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""","""","""","""","""","""",""1"",""1"",""3"",""2"",""2"",""3"",""2"",""2"",""一定程度上是支持该技术的"","
"130,""29-Oct-2019 21:04:42"",""29-Oct-2019 21:11:16"",""394"","""",""o86_0jiZNCkvlqtn1tLTm5YYsvyo___孟繁伟"","""",""1"",""2"",""3"","""",""3"","""",""5"","""",""2"","""",""1"","""","""","""","""","""","""",""1"","""","""",""1"","""","""","""",""4"","""",""4"","""",""4"",""3"",""3"",""2"",""2"",""2"",""2"",""2"",""3"",""2"",""4"",""2"",""2"",""2"",""4"",""2"",""2"",""1"",""2"",""1"",""1"",""1"","""",""1"","""","""","""","""",""1"","""","""","""","""","""","""","""","""","""",""1"","""",""1"","""","""","""","""","""","""",""3"",""2"",""3"",""4"",""2"",""3"",""3"",""2"",""并没有"","
"131,""29-Oct-2019 21:10:44"",""29-Oct-2019 21:13:31"",""167"","""",""o86_0jvaqz63NXVfs06pkRtD_M78___张鼎喆"","""",""1"",""1"",""4"","""",""3"","""",""2"","""",""2"","""",""1"",""1"","""","""","""","""","""",""1"","""",""1"","""","""","""","""",""2"","""",""4"","""",""2"",""2"",""3"",""1"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""1"",""1"",""1"",""1"",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"",""1"",""1"","""","""","""","""",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""同意"","
"132,""29-Oct-2019 21:12:57"",""29-Oct-2019 21:18:32"",""335"","""",""o86_0jhLWe2RnM2fyrFsx0kFhj7E___杰斯"","""",""1"",""2"",""3"","""",""3"","""",""12"","""",""2"","""",""1"","""","""","""","""","""","""","""",""1"","""","""","""","""","""",""5"","""",""3"","""",""1"",""1"",""3"",""1"",""1"",""4"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"",""1"","""",""1"",""1"","""",""1"",""1"",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"",""1"",""1"","""",""1"",""1"",""1"",""1"",""1"",""1"",""2"",""1"",""人脸识别技术在人睡着或者不清醒的时候不安全"","
"133,""29-Oct-2019 21:13:38"",""29-Oct-2019 21:18:57"",""319"","""",""o86_0ji7BYO7AJ9tv_CyEwFp0Vs0___王小少"","""",""1"",""2"",""3"","""",""3"","""",""5"","""",""2"","""",""1"","""","""","""","""","""","""",""1"",""1"",""1"","""","""","""","""",""4"","""",""2"","""",""2"",""2"",""2"",""2"",""2"",""3"",""2"",""2"",""2"",""2"",""3"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""1"",""1"",""1"","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""","""","""","""","""","""","""","""","""","""","""","""",""1"",""2"",""2"",""2"",""2"",""3"",""2"",""2"",""跟随时代发展人脸识别技术普遍但是专业更细化技术"","
"134,""29-Oct-2019 21:14:04"",""29-Oct-2019 21:19:16"",""312"","""",""o86_0jv1X_-Rcymslq4UuaZlneoI___沐曦"","""",""1"",""3"",""3"","""",""3"","""",""1"","""",""2"","""",""1"","""","""","""","""","""","""","""","""",""1"","""","""","""","""",""4"","""",""4"","""",""4"",""1"",""3"",""1"",""2"",""3"",""2"",""4"",""5"",""4"",""4"",""4"",""4"",""4"",""4"",""4"",""2"",""3"",""3"","""","""","""","""","""","""","""","""","""","""",""1"","""","""","""",""1"","""","""","""",""1"",""1"","""","""","""","""","""","""","""","""",""2"",""3"",""4"",""4"",""3"",""2"",""3"",""3"",""隐私会受侵犯"","
"135,""29-Oct-2019 21:12:46"",""29-Oct-2019 21:23:13"",""627"","""",""o86_0jnssugyvRCerbBdCc_2lbDE___张月"","""",""1"",""2"",""3"","""",""3"","""",""5"","""",""2"","""",""1"","""","""","""","""","""","""","""","""",""1"","""","""","""","""",""7"","""",""2"","""",""3"",""4"",""3"",""1"",""3"",""3"",""2"",""4"",""4"",""4"",""4"",""3"",""1"",""3"",""4"",""3"",""3"",""1"",""2"",""1"",""1"",""1"","""",""1"",""1"",""1"",""1"",""1"",""1"","""","""","""","""","""","""","""","""","""",""1"","""",""1"","""",""1"","""","""","""","""",""1"",""2"",""3"",""3"",""2"",""2"",""2"",""3"",""无"","
"136,""29-Oct-2019 21:29:39"",""29-Oct-2019 21:34:19"",""280"","""",""o86_0jmb9X3n10qKLvCCbDqM6srA___wyr"","""",""1"",""2"",""3"","""",""4"","""",""8"","""",""2"",""1"",""1"","""","""","""","""","""","""",""1"","""","""",""1"","""","""","""",""5"","""",""7"","""",""3"",""3"",""3"",""1"",""3"",""2"",""2"",""3"",""5"",""4"",""4"",""3"",""2"",""2"",""4"",""3"",""3"",""2"",""2"",""1"",""1"",""1"","""",""1"","""","""","""",""1"","""","""","""","""","""","""","""","""","""","""",""1"","""","""","""","""","""","""","""","""",""1"",""2"",""3"",""2"",""2"",""2"",""3"",""3"",""无"","
"137,""29-Oct-2019 21:36:19"",""29-Oct-2019 21:41:31"",""312"","""",""o86_0jjRNz961c3Q9unoatK_1uc0___小f快跑"","""",""1"",""2"",""4"","""",""4"","""",""1"","""",""2"","""",""1"",""1"","""","""","""","""","""",""1"","""",""1"","""","""","""","""",""7"","""",""4"","""",""4"",""2"",""3"",""2"",""2"",""3"",""2"",""4"",""4"",""5"",""5"",""3"",""2"",""2"",""4"",""3"",""2"",""2"",""2"",""1"",""1"",""1"",""1"","""","""",""1"","""","""","""","""","""","""","""","""",""1"","""","""","""",""1"","""","""","""","""","""","""","""","""",""1"",""2"",""2"",""2"",""2"",""2"",""3"",""2"",""无"","
"138,""29-Oct-2019 21:56:54"",""29-Oct-2019 22:01:26"",""272"","""",""o86_0jq73z0S5XSdngePvoJaPm3Q___花弄影"","""",""2"",""2"",""3"","""",""3"","""",""3"","""",""2"","""",""1"","""","""","""","""","""","""","""","""",""1"",""1"","""","""","""",""4"","""",""3"","""",""2"",""1"",""3"",""1"",""1"",""3"",""1"",""1"",""4"",""2"",""2"",""2"",""2"",""2"",""4"",""2"",""2"",""2"",""2"",""1"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""1"","""","""","""","""","""","""","""","""","""","""","""",""1"",""1"",""1"",""1"",""1"",""1"",""2"",""1"",""大部分人对这像技术几乎不怎么清楚"","
"139,""29-Oct-2019 22:02:01"",""29-Oct-2019 22:10:31"",""510"","""",""o86_0juKOGKmwEaqS4xmQR7dbjjw___买云贤"","""",""1"",""2"",""4"","""",""3"","""",""3"","""",""2"","""",""1"","""","""","""",""1"",""实习经历"","""","""","""",""1"",""1"","""","""","""",""7"","""",""5"","""",""2"",""1"",""2"",""2"",""4"",""2"",""2"",""2"",""4"",""4"",""5"",""4"",""2"",""2"",""5"",""2"",""2"",""4"",""3"","""","""",""1"","""","""","""","""","""","""","""","""","""","""","""","""",""1"",""1"",""1"","""",""1"","""","""","""","""","""","""","""","""",""2"",""3"",""3"",""4"",""2"",""2"",""4"",""4"",""技术无性质对于人脸识别其实并不适用，因此更需要在使用上谨慎。"","
